Model,Type,Accuracy,Precision,Recall,F1,AUC,MAE,RMSE,R2,Adjusted_R2
Logistic Regression,Classification,0.8044692737430168,0.7833333333333333,0.6811594202898551,0.7286821705426356,0.8500658761528328,,,,
Decision Tree,Classification,0.8156424581005587,0.7903225806451613,0.7101449275362319,0.7480916030534351,0.7903820816864295,,,,
Random Forest,Classification,0.7932960893854749,0.7580645161290323,0.6811594202898551,0.7175572519083969,0.825098814229249,,,,
Tuned Random Forest,Classification,0.8044692737430168,0.8541666666666666,0.5942028985507246,0.7008547008547008,0.8361660079051384,,,,
Multivariate Linear Regression,Regression,,,,,,20.80837492158198,30.51102602607061,0.398407076177253,0.3587811949673715
